,tourney_year_id,tourney_order,tourney_slug,tourney_url_suffix,tourney_round_name,round_order,match_order,winner_name,winner_player_id,winner_slug,loser_name,loser_player_id,loser_slug,winner_seed,loser_seed,match_score_tiebreaks,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,match_id,match_stats_url_suffix
0,2018-580,6,australian-open,/en/scores/archive/australian-open/580/2018/results,Finals,1,1,Roger Federer,f324,roger-federer,Marin Cilic,c977,marin-cilic,2,6,62 67(5) 63 36 61,3,2,27,19,0,1,2018-580-f324-c977,/en/scores/2018/580/MS001/match-stats
1,2018-580,6,australian-open,/en/scores/archive/australian-open/580/2018/results,Semi-Finals,2,1,Roger Federer,f324,roger-federer,Hyeon Chung,ch27,hyeon-chung,2,,61 52 (RET),2,0,11,3,0,0,2018-580-f324-ch27,/en/scores/2018/580/MS003/match-stats
2,2018-580,6,australian-open,/en/scores/archive/australian-open/580/2018/results,Semi-Finals,2,2,Marin Cilic,c977,marin-cilic,Kyle Edmund,e831,kyle-edmund,6,,62 76(4) 62,3,0,19,10,1,0,2018-580-c977-e831,/en/scores/2018/580/MS002/match-stats
3,2018-580,6,australian-open,/en/scores/archive/australian-open/580/2018/results,Quarter-Finals,3,1,Marin Cilic,c977,marin-cilic,Rafael Nadal,n409,rafael-nadal,6,1,36 63 67(5) 62 20 (RET),3,2,23,18,0,1,2018-580-c977-n409,/en/scores/2018/580/MS004/match-stats
4,2018-580,6,australian-open,/en/scores/archive/australian-open/580/2018/results,Quarter-Finals,3,2,Roger Federer,f324,roger-federer,Tomas Berdych,ba47,tomas-berdych,2,19,76(1) 63 64,3,0,19,13,1,0,2018-580-f324-ba47,/en/scores/2018/580/MS007/match-stats
5,2018-580,6,australian-open,/en/scores/archive/australian-open/580/2018/results,Quarter-Finals,3,3,Kyle Edmund,e831,kyle-edmund,Grigor Dimitrov,d875,grigor-dimitrov,,3,64 36 63 64,3,1,21,17,0,0,2018-580-e831-d875,/en/scores/2018/580/MS005/match-stats
6,2018-580,6,australian-open,/en/scores/archive/australian-open/580/2018/results,Quarter-Finals,3,4,Hyeon Chung,ch27,hyeon-chung,Tennys Sandgren,sl08,tennys-sandgren,,,64 76(5) 63,3,0,19,13,1,0,2018-580-ch27-sl08,/en/scores/2018/580/MS006/match-stats
7,2018-580,6,australian-open,/en/scores/archive/australian-open/580/2018/results,Round of 16,4,1,Rafael Nadal,n409,rafael-nadal,Diego Schwartzman,sm37,diego-schwartzman,1,24,63 67(4) 63 63,3,1,24,16,0,1,2018-580-n409-sm37,/en/scores/2018/580/MS008/match-stats
8,2018-580,6,australian-open,/en/scores/archive/australian-open/580/2018/results,Round of 16,4,2,Roger Federer,f324,roger-federer,Marton Fucsovics,f724,marton-fucsovics,2,,64 76(3) 62,3,0,19,12,1,0,2018-580-f324-f724,/en/scores/2018/580/MS015/match-stats
9,2018-580,6,australian-open,/en/scores/archive/australian-open/580/2018/results,Round of 16,4,3,Grigor Dimitrov,d875,grigor-dimitrov,Nick Kyrgios,ke17,nick-kyrgios,3,17,76(3) 76(4) 46 76(4),3,1,25,24,3,0,2018-580-d875-ke17,/en/scores/2018/580/MS010/match-stats
