route,source,destination,year,month,day,hour,minute,vessel_name,duration_minutes
30,Tsawwassen,Duke Point,2018,03,18,17,45,Coastal Inspiration,119
1,Tsawwassen,Swartz Bay,2018,03,23,17,00,Spirit of Vancouver Island,92
3,Horseshoe Bay,Langdale,2018,03,23,22,55,Queen of Coquitlam,40
4,Swartz Bay,Fulford Harbour,2018,04,16,09,00,Skeena Queen,40
30,Duke Point,Tsawwassen,2018,03,22,22,45,Queen of Alberni,128
8,Horseshoe Bay,Bowen Island,2018,03,15,16,35,Queen of Capilano,25
30,Tsawwassen,Duke Point,2018,04,07,12,45,Queen of Coquitlam,115
30,Duke Point,Tsawwassen,2018,04,13,17,45,Queen of Alberni,161
8,Horseshoe Bay,Bowen Island,2018,03,24,22,00,Queen of Capilano,22
1,Tsawwassen,Swartz Bay,2018,03,01,14,00,Coastal Renaissance,96
30,Tsawwassen,Duke Point,2018,03,06,07,45,Coastal Inspiration,121
2,Horseshoe Bay,Departure Bay,2018,04,13,13,00,Queen of Cowichan,112
30,Duke Point,Tsawwassen,2018,03,10,17,45,Queen of Alberni,113
1,Tsawwassen,Swartz Bay,2018,03,03,13,00,Spirit of Vancouver Island,96
1,Tsawwassen,Swartz Bay,2018,04,15,16,00,Queen of New Westminster,86
8,Horseshoe Bay,Bowen Island,2018,04,10,12,35,Queen of Capilano,21
30,Duke Point,Tsawwassen,2018,03,24,12,45,Queen of Alberni,117
3,Langdale,Horseshoe Bay,2018,04,22,15,15,Queen of Surrey,45
30,Duke Point,Tsawwassen,2018,04,12,15,15,Queen of Coquitlam,123
2,Horseshoe Bay,Departure Bay,2018,04,04,13,00,Queen of Cowichan,102
1,Swartz Bay,Tsawwassen,2018,04,21,12,00,Coastal Inspiration,96
2,Departure Bay,Horseshoe Bay,2018,03,15,13,00,Queen of Oak Bay,106
30,Duke Point,Tsawwassen,2018,04,25,17,45,Queen of New Westminster,127
3,Horseshoe Bay,Langdale,2018,03,04,22,55,Queen of Coquitlam,60
30,Duke Point,Tsawwassen,2018,03,08,10,15,Coastal Inspiration,119
30,Duke Point,Tsawwassen,2018,04,17,16,00,Coastal Inspiration,120
8,Horseshoe Bay,Bowen Island,2018,03,02,18,50,Queen of Capilano,20
1,Swartz Bay,Tsawwassen,2018,03,19,17,00,Coastal Celebration,88
30,Tsawwassen,Duke Point,2018,03,04,15,15,Queen of Alberni,118
4,Swartz Bay,Fulford Harbour,2018,03,23,15,00,Skeena Queen,36
8,Horseshoe Bay,Bowen Island,2018,04,11,12,35,Queen of Capilano,17
3,Horseshoe Bay,Langdale,2018,04,30,09,45,Queen of Surrey,42
8,Horseshoe Bay,Bowen Island,2018,04,24,08,00,Queen of Capilano,20
1,Swartz Bay,Tsawwassen,2018,03,10,17,00,Coastal Celebration,90
3,Horseshoe Bay,Langdale,2018,04,22,17,30,Queen of Cowichan,40
4,Swartz Bay,Fulford Harbour,2018,04,01,13,00,Skeena Queen,28
30,Duke Point,Tsawwassen,2018,04,16,20,15,Queen of Coquitlam,117
30,Duke Point,Tsawwassen,2018,03,15,15,15,Coastal Inspiration,125
30,Tsawwassen,Duke Point,2018,03,10,07,45,Coastal Inspiration,118
2,Departure Bay,Horseshoe Bay,2018,04,14,20,45,Queen of Surrey,107
30,Duke Point,Tsawwassen,2018,04,26,07,45,Queen of Alberni,115
4,Swartz Bay,Fulford Harbour,2018,04,09,09,00,Skeena Queen,30
