route,source,destination,year,month,day,hour,minute,vessel_name,duration_minutes
8,Horseshoe Bay,Bowen Island,2018,04,20,16,35,Queen of Capilano,23
2,Departure Bay,Horseshoe Bay,2018,04,04,13,00,Queen of Oak Bay,106
30,Duke Point,Tsawwassen,2018,04,05,22,45,Queen of Alberni,120
8,Horseshoe Bay,Bowen Island,2018,04,17,15,30,Queen of Capilano,18
3,Langdale,Horseshoe Bay,2018,04,28,13,05,Queen of Surrey,67
30,Duke Point,Tsawwassen,2018,04,09,15,15,Queen of Coquitlam,123
2,Departure Bay,Horseshoe Bay,2018,04,04,10,40,Queen of Cowichan,110
8,Horseshoe Bay,Bowen Island,2018,04,17,18,50,Queen of Capilano,16
8,Horseshoe Bay,Bowen Island,2018,04,21,05,50,Queen of Capilano,22
1,Tsawwassen,Swartz Bay,2018,04,02,16,00,Queen of New Westminster,88
3,Horseshoe Bay,Langdale,2018,04,13,14,10,Queen of Surrey,42
4,Swartz Bay,Fulford Harbour,2018,04,25,11,00,Skeena Queen,32
1,Tsawwassen,Swartz Bay,2018,04,08,13,00,Spirit of Vancouver Island,88
3,Langdale,Horseshoe Bay,2018,04,08,08,40,Queen of Surrey,42
3,Horseshoe Bay,Langdale,2018,04,16,09,45,Queen of Surrey,39
1,Tsawwassen,Swartz Bay,2018,04,17,21,00,Spirit of Vancouver Island,88
3,Horseshoe Bay,Langdale,2018,04,20,17,30,Queen of Cowichan,45
3,Horseshoe Bay,Langdale,2018,04,19,17,30,Queen of Cowichan,44
30,Tsawwassen,Duke Point,2018,04,11,07,45,Queen of Coquitlam,113
1,Swartz Bay,Tsawwassen,2018,04,25,11,00,Spirit of Vancouver Island,92
1,Tsawwassen,Swartz Bay,2018,04,28,07,00,Coastal Renaissance,90
4,Swartz Bay,Fulford Harbour,2018,04,04,19,00,Skeena Queen,36
1,Swartz Bay,Tsawwassen,2018,04,01,12,00,Coastal Renaissance,90
1,Tsawwassen,Swartz Bay,2018,04,02,14,00,Coastal Renaissance,88
3,Horseshoe Bay,Langdale,2018,04,08,11,55,Queen of Surrey,40
2,Horseshoe Bay,Departure Bay,2018,04,02,08,25,Queen of Cowichan,105
4,Swartz Bay,Fulford Harbour,2018,04,18,17,00,Skeena Queen,40
2,Horseshoe Bay,Departure Bay,2018,04,06,06,15,Queen of Oak Bay,105
4,Swartz Bay,Fulford Harbour,2018,04,10,17,00,Skeena Queen,29
2,Horseshoe Bay,Departure Bay,2018,04,19,20,05,Queen of Oak Bay,105
30,Duke Point,Tsawwassen,2018,04,22,17,45,Queen of Alberni,117
1,Tsawwassen,Swartz Bay,2018,04,25,09,00,Spirit of Vancouver Island,92
1,Tsawwassen,Swartz Bay,2018,04,01,16,00,Queen of New Westminster,90
8,Horseshoe Bay,Bowen Island,2018,04,05,21,00,Queen of Capilano,18
1,Swartz Bay,Tsawwassen,2018,04,08,21,00,Coastal Renaissance,84
4,Swartz Bay,Fulford Harbour,2018,04,23,07,00,Skeena Queen,34
30,Tsawwassen,Duke Point,2018,04,09,10,15,Queen of Alberni,118
30,Duke Point,Tsawwassen,2018,04,13,22,45,Queen of Alberni,155
2,Horseshoe Bay,Departure Bay,2018,04,10,22,10,Queen of Cowichan,108
2,Horseshoe Bay,Departure Bay,2018,04,04,20,05,Queen of Oak Bay,105
1,Swartz Bay,Tsawwassen,2018,04,07,13,00,Coastal Renaissance,90
4,Swartz Bay,Fulford Harbour,2018,04,26,09,00,Skeena Queen,34
4,Swartz Bay,Fulford Harbour,2018,04,27,11,00,Skeena Queen,38
2,Departure Bay,Horseshoe Bay,2018,04,12,06,15,Queen of Cowichan,107
