route,source,destination,year,month,day,hour,minute,vessel_name,duration_minutes
2,Horseshoe Bay,Departure Bay,2018,04,15,18,35,Queen of Surrey,125
3,Horseshoe Bay,Langdale,2018,03,31,22,55,Queen of Surrey,44
30,Tsawwassen,Duke Point,2018,04,15,10,15,Queen of Alberni,128
1,Swartz Bay,Tsawwassen,2018,02,15,19,00,Coastal Renaissance,100
8,Horseshoe Bay,Bowen Island,2018,01,11,11,25,Bowen Queen,19
4,Swartz Bay,Fulford Harbour,2018,01,15,13,00,Skeena Queen,28
1,Tsawwassen,Swartz Bay,2018,03,02,11,00,Coastal Celebration,98
1,Tsawwassen,Swartz Bay,2018,01,31,11,00,Coastal Celebration,92
30,Tsawwassen,Duke Point,2018,04,04,15,15,Queen of Alberni,119
1,Swartz Bay,Tsawwassen,2018,03,29,16,00,Coastal Renaissance,92
1,Tsawwassen,Swartz Bay,2018,02,14,17,00,Coastal Renaissance,92
2,Departure Bay,Horseshoe Bay,2018,01,26,22,10,Queen of Coquitlam,101
3,Horseshoe Bay,Langdale,2018,04,30,16,20,Queen of Surrey,65
3,Langdale,Horseshoe Bay,2018,04,09,13,05,Queen of Surrey,37
2,Horseshoe Bay,Departure Bay,2018,03,07,22,10,Queen of Cowichan,132
2,Horseshoe Bay,Departure Bay,2018,02,22,08,25,Queen of Cowichan,103
1,Tsawwassen,Swartz Bay,2018,04,03,13,00,Spirit of Vancouver Island,94
2,Horseshoe Bay,Departure Bay,2018,04,14,15,45,Queen of Oak Bay,107
30,Tsawwassen,Duke Point,2018,01,19,15,15,Queen of Alberni,119
4,Swartz Bay,Fulford Harbour,2018,02,07,21,00,Skeena Queen,26
3,Langdale,Horseshoe Bay,2018,04,26,08,40,Queen of Surrey,42
3,Langdale,Horseshoe Bay,2018,01,13,20,55,Queen of Cowichan,41
3,Langdale,Horseshoe Bay,2018,02,18,08,40,Queen of Surrey,42
3,Langdale,Horseshoe Bay,2018,02,12,13,05,Queen of Surrey,39
30,Duke Point,Tsawwassen,2018,02,27,12,45,Queen of Alberni,117
3,Horseshoe Bay,Langdale,2018,03,26,07,30,Queen of Coquitlam,39
4,Swartz Bay,Fulford Harbour,2018,04,01,15,00,Skeena Queen,42
3,Horseshoe Bay,Langdale,2018,04,28,22,55,Queen of Surrey,43
30,Tsawwassen,Duke Point,2018,04,17,22,45,Queen of Coquitlam,120
1,Tsawwassen,Swartz Bay,2018,01,28,11,00,Coastal Celebration,92
2,Departure Bay,Horseshoe Bay,2018,04,20,08,25,Queen of Oak Bay,105
1,Tsawwassen,Swartz Bay,2018,03,16,16,00,Queen of New Westminster,90
1,Tsawwassen,Swartz Bay,2018,04,05,19,00,Coastal Renaissance,90
3,Langdale,Horseshoe Bay,2018,02,15,18,40,Queen of Cowichan,40
1,Tsawwassen,Swartz Bay,2018,04,15,16,00,Queen of New Westminster,86
1,Swartz Bay,Tsawwassen,2018,03,23,13,00,Coastal Celebration,92
4,Swartz Bay,Fulford Harbour,2018,02,03,17,00,Skeena Queen,32
1,Tsawwassen,Swartz Bay,2018,04,22,09,00,Spirit of Vancouver Island,92
8,Horseshoe Bay,Bowen Island,2018,03,28,06,50,Queen of Capilano,20
2,Horseshoe Bay,Departure Bay,2018,03,22,15,45,Queen of Oak Bay,105
2,Horseshoe Bay,Departure Bay,2018,02,12,10,40,Queen of Coquitlam,188
3,Horseshoe Bay,Langdale,2018,03,03,09,45,Queen of Coquitlam,44
